지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,적설(cm),3시간신적설(cm)
112,인천,2024-01-03 6:00,2.3,,0,,1,,230,,79,,5.7,-0.9,1010.2,,1018.8,,,
112,인천,2024-01-03 7:00,2.4,,,9,1.4,,230,,81,,5.9,-0.5,1010.3,,1018.9,,,
112,인천,2024-01-03 8:00,2.3,,,9,1.6,,230,,85,,6.1,0,1010.5,,1019.1,,,
112,인천,2024-01-03 9:00,2.2,,0,,0,,0,,85,,6.1,0,1010.7,,1019.3,,,
112,인천,2024-01-03 10:00,2.7,,,9,2,,180,,86,,6.3,0.5,1010.6,,1019.2,,,
112,인천,2024-01-03 11:00,3.4,,,9,1.9,,180,,85,,6.6,1.1,1010.2,,1018.8,,,
112,인천,2024-01-03 12:00,4.4,,0,,1.8,,230,,81,,6.8,1.4,1009.9,,1018.5,,,
112,인천,2024-01-03 13:00,3.8,,,9,2.3,,230,,81,,6.5,0.8,1009.4,,1018,,,
112,인천,2024-01-03 14:00,3.3,,,9,4.4,,320,,86,,6.6,1.1,1009.3,,1017.9,,,
112,인천,2024-01-03 15:00,3.1,,0,,3.1,,360,,84,,6.4,0.6,1009.5,,1018.1,,,
112,인천,2024-01-03 16:00,3.2,,,9,3.2,,320,,77,,5.9,-0.4,1010,,1018.6,,,
112,인천,2024-01-03 17:00,2.8,,,9,2.5,,290,,80,,6,-0.3,1010.6,,1019.2,,,
112,인천,2024-01-03 18:00,1.9,,,9,2.8,,270,,84,,5.9,-0.5,1011.5,,1020.2,,,
112,인천,2024-01-03 19:00,1.6,,,9,3.4,,290,,76,,5.2,-2.1,1012.1,,1020.8,,,
112,인천,2024-01-03 20:00,1,,,9,2.9,,290,,69,,4.5,-4,1012.6,,1021.3,,,
112,인천,2024-01-03 21:00,0.6,,,9,2.7,,290,,71,,4.5,-4,1013.1,,1021.8,,,
112,인천,2024-01-03 22:00,0.3,,,9,2.7,,290,,69,,4.3,-4.7,1013.6,,1022.3,,,
112,인천,2024-01-03 23:00,0.1,,,9,4.2,,320,,62,,3.8,-6.3,1013.6,,1022.4,,,
112,인천,2024-01-04 0:00,-0.4,,,9,2.4,,320,,66,,3.9,-5.9,1013.9,,1022.7,,,
112,인천,2024-01-04 1:00,-0.6,,,,2.1,,270,,66,,3.9,-6.1,1014.1,,1022.9,,,
112,인천,2024-01-04 2:00,-0.9,,,,2.1,,290,,68,,3.9,-6,1014.1,,1022.9,,,
112,인천,2024-01-04 3:00,-1,,,,1.7,,290,,71,,4,-5.6,1014.2,,1023,,,
112,인천,2024-01-04 4:00,-1.3,,,,1.2,,70,,71,,4,-5.8,1013.8,,1022.6,,,
112,인천,2024-01-04 5:00,-1.8,,,,0.8,,110,,72,,3.9,-6.1,1013.9,,1022.7,,,
112,인천,2024-01-04 6:00,-1.9,,,,1.3,,140,,70,,3.7,-6.6,1014.3,,1023.1,,,
112,인천,2024-01-04 7:00,-1.6,,,,1.7,,140,,72,,3.9,-5.9,1014.5,,1023.3,,,
112,인천,2024-01-04 8:00,-1,,,,2.5,,160,,69,,3.9,-5.9,1014.9,,1023.7,,,
112,인천,2024-01-04 9:00,-0.5,,,,2.3,,140,,69,,4.1,-5.4,1015.1,,1023.9,,,
112,인천,2024-01-04 10:00,0.5,,,,2.9,,160,,69,,4.4,-4.5,1015.5,,1024.3,,,
112,인천,2024-01-04 11:00,2.8,,,,2.3,,140,,63,,4.7,-3.5,1015.4,,1024.1,,,
112,인천,2024-01-04 12:00,4.1,,,,3.4,,140,,60,,4.9,-2.9,1014.7,,1023.3,,,
112,인천,2024-01-04 13:00,3.9,,,,3.7,,160,,60,,4.9,-3.1,1013.9,,1022.5,,,
112,인천,2024-01-04 14:00,5,,,,3.9,,180,,60,,5.2,-2.1,1013.1,,1021.7,,,
112,인천,2024-01-04 15:00,4.6,,,,3.9,,180,,63,,5.4,-1.8,1012.4,,1021,,,
112,인천,2024-01-04 16:00,4.6,,,,4.2,,180,,65,,5.5,-1.4,1012.2,,1020.8,,,
112,인천,2024-01-04 17:00,4.7,,,,3.6,,200,,68,,5.8,-0.7,1012.5,,1021.1,,,
112,인천,2024-01-04 18:00,4.6,,,,4.5,,180,,68,,5.8,-0.8,1012,,1020.6,,,
112,인천,2024-01-04 19:00,4.5,,,,3.9,,180,,71,,6,-0.3,1011.8,,1020.4,,,
112,인천,2024-01-04 20:00,4.4,,,,4,,160,,72,,6,-0.2,1011.8,,1020.4,,,
112,인천,2024-01-04 21:00,4.5,,,,4.5,,160,,72,,6.1,-0.1,1011.5,,1020.1,,,
112,인천,2024-01-04 22:00,4.3,,,,3.7,,160,,73,,6.1,-0.1,1011.1,,1019.7,,,
112,인천,2024-01-04 23:00,4,,,,5.1,,180,,73,,5.9,-0.4,1011,,1019.6,,,
112,인천,2024-01-05 0:00,3.8,,,,3.7,,160,,75,,6,-0.2,1011.2,,1019.8,,,
112,인천,2024-01-05 1:00,4.1,,,,4.3,,180,,77,,6.3,0.4,1010.9,,1019.5,,,
112,인천,2024-01-05 2:00,4.3,,,,4,,160,,78,,6.4,0.7,1010.9,,1019.5,,,
112,인천,2024-01-05 3:00,4.5,,,,3.6,,160,,81,,6.8,1.5,1010.8,,1019.4,,,
112,인천,2024-01-05 4:00,4.8,,,,3.9,,160,,83,,7.1,2.1,1010.6,,1019.1,,,
112,인천,2024-01-05 5:00,5,,,9,2.5,,180,,84,,7.3,2.5,1010.5,,1019.1,,,
112,인천,2024-01-05 6:00,6,,0,,3.1,,250,,87,,8.1,3.9,1010.8,,1019.3,,,
112,인천,2024-01-05 7:00,5.6,,,9,3.3,,230,,87,,7.9,3.6,1011.4,,1019.9,,,
112,인천,2024-01-05 8:00,5.6,,,9,3.4,,270,,87,,7.9,3.6,1011.7,,1020.3,,,
112,인천,2024-01-05 9:00,5.8,,,9,3.5,,250,,86,,7.9,3.6,1012.2,,1020.7,,,
112,인천,2024-01-05 10:00,5.9,,,9,3.2,,250,,81,,7.5,2.8,1012.5,,1021,,,
112,인천,2024-01-05 11:00,6.9,,,9,2.3,,250,,75,,7.4,2.7,1012.9,,1021.4,,,
112,인천,2024-01-05 12:00,7.3,,,9,4.2,,250,,69,,7,1.9,1012.4,,1020.9,,,
112,인천,2024-01-05 13:00,7.6,,,9,3.8,,250,,68,,7.1,2,1011.6,,1020.1,,,
112,인천,2024-01-05 14:00,7.4,,,9,3.7,,270,,67,,6.9,1.6,1011.1,,1019.6,,,
112,인천,2024-01-05 15:00,7,,,9,3.6,,250,,68,,6.8,1.4,1011.1,,1019.6,,,
112,인천,2024-01-05 16:00,6.3,,,9,3.4,,250,,71,,6.8,1.4,1011.2,,1019.7,,,
112,인천,2024-01-05 17:00,5.3,,,9,3,,270,,70,,6.2,0.2,1011.4,,1020,,,
112,인천,2024-01-05 18:00,4.3,,,9,3,,250,,78,,6.4,0.7,1011.6,,1020.2,,,
112,인천,2024-01-05 19:00,3.9,,,9,3.4,,270,,81,,6.5,0.9,1011.7,,1020.3,,,
112,인천,2024-01-05 20:00,3.6,,,9,4.2,,270,,80,,6.3,0.4,1012.1,,1020.7,,,
112,인천,2024-01-05 21:00,3,,,9,2,,290,,70,,5.3,-1.9,1012.5,,1021.1,,,
112,인천,2024-01-05 22:00,1.9,,,9,3.3,,320,,74,,5.2,-2.2,1012.7,,1021.4,,,
112,인천,2024-01-05 23:00,1,,,9,3,,290,,69,,4.5,-4,1012.9,,1021.6,,,
112,인천,2024-01-06 0:00,0.3,,,9,2,,290,,78,,4.9,-3,1012.9,,1021.6,,,
112,인천,2024-01-06 1:00,-0.2,,,,1.8,,290,,82,,4.9,-2.9,1013,,1021.7,,,
112,인천,2024-01-06 2:00,-0.7,,,,2.2,,290,,80,,4.6,-3.7,1013.2,,1022,,,
112,인천,2024-01-06 3:00,-0.9,,,,2.6,,320,,83,,4.8,-3.4,1013.6,,1022.4,,,
112,인천,2024-01-06 4:00,-1.3,,,,1.5,,290,,81,,4.5,-4.1,1013.5,,1022.3,,,
112,인천,2024-01-06 5:00,-1.5,,,,2.3,,340,,81,,4.4,-4.3,1013.5,,1022.3,,,
112,인천,2024-01-06 6:00,-1.7,,,,2.7,,340,,78,,4.2,-5,1013.7,,1022.5,,,
112,인천,2024-01-06 7:00,-2,,,,2.3,,340,,74,,3.9,-6,1014.1,,1022.9,,,
112,인천,2024-01-06 8:00,-2.1,,,,1.8,,320,,70,,3.7,-6.8,1014.4,,1023.2,,,
112,인천,2024-01-06 9:00,-1.5,,,,1.4,,290,,70,,3.8,-6.2,1015,,1023.8,,,
112,인천,2024-01-06 10:00,-0.3,,,,1.1,,270,,62,,3.7,-6.7,1015.1,,1023.9,,,
112,인천,2024-01-06 11:00,0.6,,,,2.2,,290,,51,,3.3,-8.3,1014.7,,1023.4,,,
112,인천,2024-01-06 12:00,1.2,,,,2.8,,290,,46,,3.1,-9.1,1014.4,,1023.1,,,
112,인천,2024-01-06 13:00,3.1,,,,1.9,,270,,49,,3.7,-6.6,1014,,1022.6,,,
112,인천,2024-01-06 14:00,3.2,,,,2.2,,320,,42,,3.2,-8.5,1013.1,,1021.7,,,
112,인천,2024-01-06 15:00,4.1,,,,3.5,,230,,44,,3.6,-7,1013.1,,1021.7,,,
112,인천,2024-01-06 16:00,3.4,,,,3,,230,,46,,3.6,-7.1,1012.9,,1021.5,,,
112,인천,2024-01-06 17:00,2.4,,,,2.6,,200,,47,,3.4,-7.7,1013.1,,1021.8,,,
112,인천,2024-01-06 18:00,2,,0,,3.3,,250,,60,,4.2,-4.9,1013.6,,1022.3,,,
112,인천,2024-01-06 19:00,0.7,,,9,0.8,,270,,84,,5.4,-1.7,1013.6,,1022.3,,0.8,
112,인천,2024-01-06 20:00,0.9,,,9,1.4,,250,,88,,5.8,-0.8,1013.6,,1022.3,,0.8,
112,인천,2024-01-06 21:00,0.1,,2.1,,3.3,,290,,90,,5.6,-1.3,1013.8,,1022.6,,1.5,1.5
112,인천,2024-01-06 22:00,0,,,9,3.9,,320,,90,,5.5,-1.4,1014,,1022.8,,1.5,
112,인천,2024-01-06 23:00,-0.8,,,9,3.7,,290,,89,,5.2,-2.3,1014.6,,1023.4,,1.5,
112,인천,2024-01-07 0:00,-1.6,,,9,3.7,,320,,79,,4.3,-4.7,1015.1,,1023.9,,1.5,
112,인천,2024-01-07 1:00,-2,,,,4.1,,320,,74,,3.9,-6,1015.1,,1023.9,,1.5,
112,인천,2024-01-07 2:00,-2.4,,,,1.9,,360,,75,,3.8,-6.2,1015.1,,1023.9,,1.5,
112,인천,2024-01-07 3:00,-2.4,,,,2.3,,270,,75,,3.8,-6.2,1015.6,,1024.4,,1.5,
112,인천,2024-01-07 4:00,-2.6,,,,3,,270,,77,,3.9,-6,1015.8,,1024.7,,1.5,
112,인천,2024-01-07 5:00,-2.9,,,,3.6,,290,,74,,3.7,-6.8,1015.8,,1024.7,,1.5,
112,인천,2024-01-07 6:00,-3.6,,,,3.9,,340,,61,,2.9,-10,1016.3,,1025.2,,1.5,
112,인천,2024-01-07 7:00,-4.1,,,,5.1,,320,,55,,2.5,-11.8,1017.1,,1026,,1.5,
112,인천,2024-01-07 8:00,-4.5,,,,4,,320,,57,,2.5,-11.7,1017.9,,1026.8,,1.5,
112,인천,2024-01-07 9:00,-4.2,,,,3.6,,320,,54,,2.4,-12.1,1018.9,,1027.8,,1.4,
112,인천,2024-01-07 10:00,-4,,,,4.5,,270,,46,,2.1,-13.9,1019.3,,1028.2,,1.4,
112,인천,2024-01-07 11:00,-3.7,,,,5.1,,290,,48,,2.2,-13.1,1019.3,,1028.2,,1.3,
112,인천,2024-01-07 12:00,-3.3,,,,4.1,,290,,51,,2.4,-12,1019.1,,1028,,1.3,
112,인천,2024-01-07 13:00,-3.2,,,,4.2,,290,,52,,2.5,-11.6,1018.6,,1027.5,,1,
112,인천,2024-01-07 14:00,-3,,,,4.1,,320,,53,,2.6,-11.2,1018.4,,1027.3,,0.8,
112,인천,2024-01-07 15:00,-3.3,,,,5.6,,320,,51,,2.4,-12,1018.3,,1027.2,,0.5,
112,인천,2024-01-07 16:00,-3.4,,,,4.1,,290,,50,,2.4,-12.3,1018.5,,1027.4,,0.3,
112,인천,2024-01-07 17:00,-4.3,,,,4.9,,320,,39,,1.7,-16.2,1018.7,,1027.6,,0.3,
112,인천,2024-01-07 18:00,-5,,,,5.2,,320,,46,,1.9,-14.8,1019.2,,1028.2,,0.3,
112,인천,2024-01-07 19:00,-5.4,,,,4.7,,290,,47,,1.9,-14.9,1019.5,,1028.5,,0.3,
112,인천,2024-01-07 20:00,-6.2,,,,3.4,,320,,51,,2,-14.7,1020.1,,1029.1,,0.3,
112,인천,2024-01-07 21:00,-6.8,,,,5.7,,340,,54,,2,-14.5,1020.5,,1029.5,,0.3,
112,인천,2024-01-07 22:00,-7.5,,,,3.4,,340,,59,,2.1,-14.1,1020.4,,1029.5,,0.3,
112,인천,2024-01-07 23:00,-8,,,,3.8,,270,,61,,2,-14.2,1020.5,,1029.6,,0.3,
112,인천,2024-01-08 0:00,-8.2,,,,2.6,,320,,60,,2,-14.6,1020.6,,1029.7,,0.3,
112,인천,2024-01-08 1:00,-8.4,,,,4.1,,270,,59,,1.9,-14.9,1020.2,,1029.3,,0.3,
112,인천,2024-01-08 2:00,-8.7,,,,2.5,,50,,60,,1.9,-15,1020.4,,1029.5,,0.3,
112,인천,2024-01-08 3:00,-8.9,,,,3.6,,50,,59,,1.8,-15.4,1020.4,,1029.5,,0.3,
112,인천,2024-01-08 4:00,-9.3,,,,2.4,,20,,62,,1.9,-15.2,1020.1,,1029.2,,0.3,
112,인천,2024-01-08 5:00,-9.3,,,,2.6,,20,,58,,1.8,-16,1019.9,,1029,,0.3,
112,인천,2024-01-08 6:00,-9.6,,,,1.2,,50,,60,,1.8,-15.9,1020,,1029.1,,0.3,
112,인천,2024-01-08 7:00,-9.9,,,,0.9,,110,,63,,1.8,-15.6,1020,,1029.1,,0.3,
112,인천,2024-01-08 8:00,-9.6,,,,1.5,,180,,65,,1.9,-14.9,1020,,1029.1,,0.3,
112,인천,2024-01-08 9:00,-7.1,,,,2.3,,140,,58,,2.1,-13.9,1020.4,,1029.4,,0.3,
112,인천,2024-01-08 10:00,-5.2,,,,2.1,,140,,49,,2,-14.2,1020.5,,1029.5,,0.3,
112,인천,2024-01-08 11:00,-3.9,,,,0.9,,140,,48,,2.2,-13.3,1020.5,,1029.4,,0.3,
112,인천,2024-01-08 12:00,-3.4,,,,2,,230,,48,,2.3,-12.8,1019.6,,1028.5,,0.3,
112,인천,2024-01-08 13:00,-2.9,,,,1.5,,290,,53,,2.6,-11.1,1018.8,,1027.7,,0.1,
112,인천,2024-01-08 14:00,-1.4,,,,2.2,,200,,53,,2.9,-9.7,1018.1,,1026.9,,,
112,인천,2024-01-08 15:00,-1.6,,,,2.2,,230,,57,,3.1,-9,1017.6,,1026.4,,,
112,인천,2024-01-08 16:00,-2.1,,,,1.6,,200,,60,,3.1,-8.8,1017,,1025.8,,,
112,인천,2024-01-08 17:00,-2.3,,,,1.4,,200,,63,,3.2,-8.4,1017.3,,1026.2,,,
112,인천,2024-01-08 18:00,-2.8,,,,2.2,,180,,64,,3.2,-8.6,1017.1,,1026,,,
112,인천,2024-01-08 19:00,-3,,,,2,,140,,64,,3.1,-8.8,1016.8,,1025.7,,,
112,인천,2024-01-08 20:00,-3,,,,2.2,,140,,67,,3.3,-8.2,1016.3,,1025.2,,,
112,인천,2024-01-08 21:00,-2.6,,,,2.6,,140,,65,,3.3,-8.2,1016.1,,1025,,,
112,인천,2024-01-08 22:00,-2.6,,,,2.3,,140,,64,,3.2,-8.4,1015.7,,1024.6,,,
112,인천,2024-01-08 23:00,-2.3,,,,2.5,,160,,62,,3.2,-8.6,1015.6,,1024.4,,,
112,인천,2024-01-09 0:00,-2.5,,,,1.6,,110,,63,,3.2,-8.5,1015.6,,1024.4,,,
112,인천,2024-01-09 1:00,-2.3,,,,2,,140,,64,,3.3,-8.1,1014.8,,1023.6,,,
112,인천,2024-01-09 2:00,-1.8,,,,2.7,,140,,63,,3.4,-7.9,1014.2,,1023,,,
112,인천,2024-01-09 3:00,-1.5,,,,3.2,,160,,64,,3.5,-7.4,1013.6,,1022.4,,,
112,인천,2024-01-09 4:00,-1.1,,,,2.7,,140,,65,,3.7,-6.8,1012.9,,1021.7,,,
112,인천,2024-01-09 5:00,-0.8,,,9,2.9,,160,,70,,4.1,-5.5,1012.2,,1021,,,
112,인천,2024-01-09 6:00,-0.9,,0,,3.1,,160,,75,,4.3,-4.7,1011.9,,1020.7,,,
112,인천,2024-01-09 7:00,-1,,,9,2.8,,160,,81,,4.6,-3.8,1011.7,,1020.5,,,
112,인천,2024-01-09 8:00,-0.9,,,9,0.8,,140,,84,,4.8,-3.2,1012,,1020.8,,0,
112,인천,2024-01-09 9:00,-1.1,,0.5,,2.7,,160,,88,,5,-2.8,1012.2,,1021,,0.1,0.1
112,인천,2024-01-09 10:00,-0.7,,,9,1.4,,140,,88,,5.1,-2.4,1012.3,,1021.1,,0.6,
112,인천,2024-01-09 11:00,-0.4,,,9,2.3,,140,,89,,5.3,-1.9,1012,,1020.7,,1.2,
112,인천,2024-01-09 12:00,0.3,,0.6,,1.8,,140,,90,,5.6,-1.1,1011.1,,1019.8,,1.6,1.5
112,인천,2024-01-09 13:00,0.6,,,9,0.8,,90,,89,,5.7,-1,1010.2,,1018.9,,1.5,
112,인천,2024-01-09 14:00,0.8,,,9,0.7,,90,,90,,5.8,-0.6,1009.5,,1018.2,,1.7,
112,인천,2024-01-09 15:00,1,,0.6,,0.7,,180,,89,,5.8,-0.6,1009.6,,1018.3,,1.4,0.2
112,인천,2024-01-09 16:00,1.1,,,9,0.5,,320,,89,,5.9,-0.5,1009.7,,1018.4,,1.1,
112,인천,2024-01-09 17:00,0.6,,,9,2.5,,360,,92,,5.9,-0.5,1009.8,,1018.5,,0.9,
112,인천,2024-01-09 18:00,0.6,,0.1,,0.4,,0,,91,,5.8,-0.7,1010,,1018.7,,0.9,
112,인천,2024-01-09 19:00,0.5,,,9,2.3,,340,,92,,5.8,-0.6,1010.3,,1019,,0.9,
112,인천,2024-01-09 20:00,0.6,,,9,1.3,,20,,91,,5.8,-0.7,1010.4,,1019.1,,0.9,
112,인천,2024-01-09 21:00,0.3,,0,,1.6,,290,,91,,5.7,-1,1010.6,,1019.3,,0.9,0
112,인천,2024-01-09 22:00,-0.2,,,9,2.5,,290,,93,,5.6,-1.2,1011.1,,1019.8,,0.9,
112,인천,2024-01-09 23:00,-0.2,,,9,1.7,,340,,92,,5.6,-1.3,1011,,1019.7,,0.9,
112,인천,2024-01-10 0:00,-0.8,,,9,3.1,,320,,91,,5.3,-2,1011,,1019.7,,0.9,
112,인천,2024-01-10 1:00,-1.1,,,,3,,340,,90,,5.1,-2.5,1010.9,,1019.7,,0.9,
112,인천,2024-01-10 2:00,-1.5,,,,2.5,,270,,88,,4.8,-3.2,1011.1,,1019.9,,0.9,
112,인천,2024-01-10 3:00,-2.2,,,,3.8,,20,,86,,4.5,-4.2,1011.4,,1020.2,,0.9,
112,인천,2024-01-10 4:00,-2.6,,,,3.7,,340,,84,,4.2,-4.9,1011.4,,1020.2,,0.9,
112,인천,2024-01-10 5:00,-2.9,,,,3.4,,50,,85,,4.2,-5,1011.4,,1020.2,,0.9,
112,인천,2024-01-10 6:00,-3.4,,,,3.3,,50,,86,,4.1,-5.4,1011.6,,1020.4,,0.9,
112,인천,2024-01-10 7:00,-3.8,,,,3,,50,,87,,4,-5.6,1011.7,,1020.6,,0.9,
112,인천,2024-01-10 8:00,-4.1,,,,2.7,,20,,88,,4,-5.7,1012.4,,1021.3,,0.9,
112,인천,2024-01-10 9:00,-3.9,,,,1.6,,340,,87,,4,-5.7,1012.9,,1021.8,,0.9,
112,인천,2024-01-10 10:00,-2.6,,,,1.5,,340,,87,,4.4,-4.4,1013.6,,1022.4,,0.9,
112,인천,2024-01-10 11:00,-2.1,,,,1.7,,320,,88,,4.6,-3.8,1013.9,,1022.7,,0.9,
112,인천,2024-01-10 12:00,-0.8,,,,1.6,,290,,85,,4.9,-3,1013.1,,1021.9,,0.8,
112,인천,2024-01-10 13:00,-0.3,,,,1.2,,290,,82,,4.9,-3,1012.9,,1021.6,,0.5,
112,인천,2024-01-10 14:00,0.1,,,,1.6,,270,,79,,4.9,-3.1,1012.7,,1021.4,,0.4,
112,인천,2024-01-10 15:00,1.2,,,,1.3,,230,,76,,5.1,-2.5,1012.6,,1021.3,,0.3,
112,인천,2024-01-10 16:00,1,,,,2.4,,250,,75,,4.9,-2.9,1012.9,,1021.6,,0.3,
112,인천,2024-01-10 17:00,0,,,,2.3,,200,,80,,4.9,-3,1012.6,,1021.3,,0.3,
112,인천,2024-01-10 18:00,-0.8,,,,2.9,,250,,84,,4.9,-3.1,1013.4,,1022.2,,0.3,
112,인천,2024-01-10 19:00,-0.9,,,,1.9,,250,,85,,4.9,-3.1,1013.7,,1022.5,,0.3,
112,인천,2024-01-10 20:00,-1.3,,,,1.5,,200,,86,,4.8,-3.3,1013.7,,1022.5,,0.3,
112,인천,2024-01-10 21:00,-1.4,,,,1.8,,180,,87,,4.8,-3.2,1013.6,,1022.4,,0.3,
