일시,기온(°C),풍속(m/s),습도(%),강풍 특보,건조 특보,폭염 특보,한파 특보
2024-01-05 19:00,3.9,3.4,81,해당없음,해당없음,해당없음,해당없음
2024-01-05 20:00,3.6,4.2,80,해당없음,해당없음,해당없음,해당없음
2024-01-05 21:00,3.0,2.0,70,해당없음,해당없음,해당없음,해당없음
2024-01-05 22:00,1.9,3.3,74,해당없음,해당없음,해당없음,해당없음
2024-01-05 23:00,1.0,3.0,69,해당없음,해당없음,해당없음,해당없음
2024-01-06 0:00,0.3,2.0,78,해당없음,해당없음,해당없음,해당없음
2024-01-06 1:00,-0.2,1.8,82,해당없음,해당없음,해당없음,해당없음
2024-01-06 2:00,-0.7,2.2,80,해당없음,해당없음,해당없음,해당없음
2024-01-06 3:00,-0.9,2.6,83,해당없음,해당없음,해당없음,해당없음
2024-01-06 4:00,-1.3,1.5,81,해당없음,해당없음,해당없음,해당없음
2024-01-06 5:00,-1.5,2.3,81,해당없음,해당없음,해당없음,해당없음
2024-01-06 6:00,-1.7,2.7,78,해당없음,해당없음,해당없음,해당없음
2024-01-06 7:00,-2.0,2.3,74,해당없음,해당없음,해당없음,해당없음
2024-01-06 8:00,-2.1,1.8,70,해당없음,해당없음,해당없음,해당없음
2024-01-06 9:00,-1.5,1.4,70,해당없음,해당없음,해당없음,해당없음
2024-01-06 10:00,-0.3,1.1,62,해당없음,해당없음,해당없음,해당없음
2024-01-06 11:00,0.6,2.2,51,해당없음,해당없음,해당없음,해당없음
2024-01-06 12:00,1.2,2.8,46,해당없음,해당없음,해당없음,해당없음
2024-01-06 13:00,3.1,1.9,49,해당없음,해당없음,해당없음,해당없음
2024-01-06 14:00,3.2,2.2,42,해당없음,해당없음,해당없음,해당없음
2024-01-06 15:00,4.1,3.5,44,해당없음,해당없음,해당없음,해당없음
2024-01-06 16:00,3.4,3.0,46,해당없음,해당없음,해당없음,해당없음
2024-01-06 17:00,2.4,2.6,47,해당없음,해당없음,해당없음,해당없음
2024-01-06 18:00,2.0,3.3,60,해당없음,해당없음,해당없음,해당없음
2024-01-06 19:00,0.7,0.8,84,해당없음,해당없음,해당없음,해당없음
2024-01-06 20:00,0.9,1.4,88,해당없음,해당없음,해당없음,해당없음
2024-01-06 21:00,0.1,3.3,90,해당없음,해당없음,해당없음,해당없음
2024-01-06 22:00,0.0,3.9,90,해당없음,해당없음,해당없음,해당없음
2024-01-06 23:00,-0.8,3.7,89,해당없음,해당없음,해당없음,해당없음
2024-01-07 0:00,-1.6,3.7,79,해당없음,해당없음,해당없음,해당없음
2024-01-07 1:00,-2.0,4.1,74,해당없음,해당없음,해당없음,해당없음
2024-01-07 2:00,-2.4,1.9,75,해당없음,해당없음,해당없음,해당없음
2024-01-07 3:00,-2.4,2.3,75,해당없음,해당없음,해당없음,해당없음
2024-01-07 4:00,-2.6,3.0,77,해당없음,해당없음,해당없음,해당없음
2024-01-07 5:00,-2.9,3.6,74,해당없음,해당없음,해당없음,해당없음
2024-01-07 6:00,-3.6,3.9,61,해당없음,해당없음,해당없음,해당없음
2024-01-07 7:00,-4.1,5.1,55,해당없음,해당없음,해당없음,해당없음
2024-01-07 8:00,-4.5,4.0,57,해당없음,해당없음,해당없음,해당없음
2024-01-07 9:00,-4.2,3.6,54,해당없음,해당없음,해당없음,해당없음
2024-01-07 10:00,-4.0,4.5,46,해당없음,해당없음,해당없음,해당없음
2024-01-07 11:00,-3.7,5.1,48,해당없음,해당없음,해당없음,해당없음
2024-01-07 12:00,-3.3,4.1,51,해당없음,해당없음,해당없음,해당없음
2024-01-07 13:00,-3.2,4.2,52,해당없음,해당없음,해당없음,해당없음
2024-01-07 14:00,-3.0,4.1,53,해당없음,해당없음,해당없음,해당없음
2024-01-07 15:00,-3.3,5.6,51,해당없음,해당없음,해당없음,해당없음
2024-01-07 16:00,-3.4,4.1,50,해당없음,해당없음,해당없음,해당없음
2024-01-07 17:00,-4.3,4.9,39,해당없음,해당없음,해당없음,해당없음
2024-01-07 18:00,-5.0,5.2,46,해당없음,해당없음,해당없음,해당없음
2024-01-07 19:00,-5.4,4.7,47,해당없음,해당없음,해당없음,해당없음
2024-01-07 20:00,-6.2,3.4,51,해당없음,해당없음,해당없음,해당없음
2024-01-07 21:00,-6.8,5.7,54,해당없음,해당없음,해당없음,해당없음
2024-01-07 22:00,-7.5,3.4,59,해당없음,해당없음,해당없음,해당없음
2024-01-07 23:00,-8.0,3.8,61,해당없음,해당없음,해당없음,해당없음
2024-01-08 0:00,-8.2,2.6,60,해당없음,해당없음,해당없음,해당없음
2024-01-08 1:00,-8.4,4.1,59,해당없음,해당없음,해당없음,해당없음
2024-01-08 2:00,-8.7,2.5,60,해당없음,해당없음,해당없음,해당없음
2024-01-08 3:00,-8.9,3.6,59,해당없음,해당없음,해당없음,해당없음
2024-01-08 4:00,-9.3,2.4,62,해당없음,해당없음,해당없음,해당없음
2024-01-08 5:00,-9.3,2.6,58,해당없음,해당없음,해당없음,해당없음
2024-01-08 6:00,-9.6,1.2,60,해당없음,해당없음,해당없음,해당없음
2024-01-08 7:00,-9.9,0.9,63,해당없음,해당없음,해당없음,해당없음
2024-01-08 8:00,-9.6,1.5,65,해당없음,해당없음,해당없음,해당없음
2024-01-08 9:00,-7.1,2.3,58,해당없음,해당없음,해당없음,해당없음
2024-01-08 10:00,-5.2,2.1,49,해당없음,해당없음,해당없음,해당없음
2024-01-08 11:00,-3.9,0.9,48,해당없음,해당없음,해당없음,해당없음
2024-01-08 12:00,-3.4,2.0,48,해당없음,해당없음,해당없음,해당없음
2024-01-08 13:00,-2.9,1.5,53,해당없음,해당없음,해당없음,해당없음
2024-01-08 14:00,-1.4,2.2,53,해당없음,해당없음,해당없음,해당없음
2024-01-08 15:00,-1.6,2.2,57,해당없음,해당없음,해당없음,해당없음
2024-01-08 16:00,-2.1,1.6,60,해당없음,해당없음,해당없음,해당없음
2024-01-08 17:00,-2.3,1.4,63,해당없음,해당없음,해당없음,해당없음
2024-01-08 18:00,-2.8,2.2,64,해당없음,해당없음,해당없음,해당없음
2024-01-08 19:00,-3.0,2.0,64,해당없음,해당없음,해당없음,해당없음
2024-01-08 20:00,-3.0,2.2,67,해당없음,해당없음,해당없음,해당없음
2024-01-08 21:00,-2.6,2.6,65,해당없음,해당없음,해당없음,해당없음
2024-01-08 22:00,-2.6,2.3,64,해당없음,해당없음,해당없음,해당없음
2024-01-08 23:00,-2.3,2.5,62,해당없음,해당없음,해당없음,해당없음
2024-01-09 0:00,-2.5,1.6,63,해당없음,해당없음,해당없음,해당없음
2024-01-09 1:00,-2.3,2.0,64,해당없음,해당없음,해당없음,해당없음
2024-01-09 2:00,-1.8,2.7,63,해당없음,해당없음,해당없음,해당없음
2024-01-09 3:00,-1.5,3.2,64,해당없음,해당없음,해당없음,해당없음
2024-01-09 4:00,-1.1,2.7,65,해당없음,해당없음,해당없음,해당없음
2024-01-09 5:00,-0.8,2.9,70,해당없음,해당없음,해당없음,해당없음
2024-01-09 6:00,-0.9,3.1,75,해당없음,해당없음,해당없음,해당없음
2024-01-09 7:00,-1.0,2.8,81,해당없음,해당없음,해당없음,해당없음
2024-01-09 8:00,-0.9,0.8,84,해당없음,해당없음,해당없음,해당없음
2024-01-09 9:00,-1.1,2.7,88,해당없음,해당없음,해당없음,해당없음
2024-01-09 10:00,-0.7,1.4,88,해당없음,해당없음,해당없음,해당없음
2024-01-09 11:00,-0.4,2.3,89,해당없음,해당없음,해당없음,해당없음
2024-01-09 12:00,0.3,1.8,90,해당없음,해당없음,해당없음,해당없음
2024-01-09 13:00,0.6,0.8,89,해당없음,해당없음,해당없음,해당없음
2024-01-09 14:00,0.8,0.7,90,해당없음,해당없음,해당없음,해당없음
2024-01-09 15:00,1.0,0.7,89,해당없음,해당없음,해당없음,해당없음
2024-01-09 16:00,1.1,0.5,89,해당없음,해당없음,해당없음,해당없음
2024-01-09 17:00,0.6,2.5,92,해당없음,해당없음,해당없음,해당없음
2024-01-09 18:00,0.6,0.4,91,해당없음,해당없음,해당없음,해당없음
2024-01-09 19:00,0.5,2.3,92,해당없음,해당없음,해당없음,해당없음
2024-01-09 20:00,0.6,1.3,91,해당없음,해당없음,해당없음,해당없음
2024-01-09 21:00,0.3,1.6,91,해당없음,해당없음,해당없음,해당없음
2024-01-09 22:00,-0.2,2.5,93,해당없음,해당없음,해당없음,해당없음
2024-01-09 23:00,-0.2,1.7,92,해당없음,해당없음,해당없음,해당없음
2024-01-10 0:00,-0.8,3.1,91,해당없음,해당없음,해당없음,해당없음
2024-01-10 1:00,-1.1,3.0,90,해당없음,해당없음,해당없음,해당없음
2024-01-10 2:00,-1.5,2.5,88,해당없음,해당없음,해당없음,해당없음
2024-01-10 3:00,-2.2,3.8,86,해당없음,해당없음,해당없음,해당없음
2024-01-10 4:00,-2.6,3.7,84,해당없음,해당없음,해당없음,해당없음
2024-01-10 5:00,-2.9,3.4,85,해당없음,해당없음,해당없음,해당없음
2024-01-10 6:00,-3.4,3.3,86,해당없음,해당없음,해당없음,해당없음
2024-01-10 7:00,-3.8,3.0,87,해당없음,해당없음,해당없음,해당없음
2024-01-10 8:00,-4.1,2.7,88,해당없음,해당없음,해당없음,해당없음
2024-01-10 9:00,-3.9,1.6,87,해당없음,해당없음,해당없음,해당없음
2024-01-10 10:00,-2.6,1.5,87,해당없음,해당없음,해당없음,해당없음
2024-01-10 11:00,-2.1,1.7,88,해당없음,해당없음,해당없음,해당없음
2024-01-10 12:00,-0.8,1.6,85,해당없음,해당없음,해당없음,해당없음
2024-01-10 13:00,-0.3,1.2,82,해당없음,해당없음,해당없음,해당없음
2024-01-10 14:00,0.1,1.6,79,해당없음,해당없음,해당없음,해당없음
2024-01-10 15:00,1.2,1.3,76,해당없음,해당없음,해당없음,해당없음
2024-01-10 16:00,1.0,2.4,75,해당없음,해당없음,해당없음,해당없음
2024-01-10 17:00,0.0,2.3,80,해당없음,해당없음,해당없음,해당없음
2024-01-10 18:00,-0.8,2.9,84,해당없음,해당없음,해당없음,해당없음
2024-01-10 19:00,-0.9,1.9,85,해당없음,해당없음,해당없음,해당없음
2024-01-10 20:00,-1.3,1.5,86,해당없음,해당없음,해당없음,해당없음
2024-01-10 21:00,-1.4,1.8,87,해당없음,해당없음,해당없음,해당없음
2024-01-10 22:00,-1.6,2.6,89,해당없음,해당없음,해당없음,해당없음
2024-01-10 23:00,-1.8,2.4,89,해당없음,해당없음,해당없음,해당없음
2024-01-11 0:00,-1.8,2.0,89,해당없음,해당없음,해당없음,해당없음
2024-01-11 1:00,-1.9,2.8,88,해당없음,해당없음,해당없음,해당없음
2024-01-11 2:00,-2.3,2.5,88,해당없음,해당없음,해당없음,해당없음
2024-01-11 3:00,-2.7,2.9,89,해당없음,해당없음,해당없음,해당없음
2024-01-11 4:00,-2.5,2.3,90,해당없음,해당없음,해당없음,해당없음
2024-01-11 5:00,-2.4,2.0,89,해당없음,해당없음,해당없음,해당없음
2024-01-11 6:00,-2.1,2.2,89,해당없음,해당없음,해당없음,해당없음
2024-01-11 7:00,-1.8,3.0,87,해당없음,해당없음,해당없음,해당없음
2024-01-11 8:00,-1.7,2.9,87,해당없음,해당없음,해당없음,해당없음
2024-01-11 9:00,-1.1,2.5,86,해당없음,해당없음,해당없음,해당없음
2024-01-11 10:00,-0.4,3.0,83,해당없음,해당없음,해당없음,해당없음
2024-01-11 11:00,2.0,2.0,75,해당없음,해당없음,해당없음,해당없음
2024-01-11 12:00,2.9,3.5,73,해당없음,해당없음,해당없음,해당없음
2024-01-11 13:00,3.6,3.8,71,해당없음,해당없음,해당없음,해당없음
2024-01-11 14:00,4.0,4.1,68,해당없음,해당없음,해당없음,해당없음
2024-01-11 15:00,4.6,4.4,69,해당없음,해당없음,해당없음,해당없음
2024-01-11 16:00,4.7,3.4,73,해당없음,해당없음,해당없음,해당없음
2024-01-11 17:00,4.7,2.8,74,해당없음,해당없음,해당없음,해당없음
2024-01-11 18:00,4.6,3.4,77,해당없음,해당없음,해당없음,해당없음
2024-01-11 19:00,4.5,4.0,78,해당없음,해당없음,해당없음,해당없음
2024-01-11 20:00,4.4,3.5,80,해당없음,해당없음,해당없음,해당없음
2024-01-11 21:00,4.3,3.5,81,해당없음,해당없음,해당없음,해당없음
2024-01-11 22:00,4.0,3.9,84,해당없음,해당없음,해당없음,해당없음
2024-01-11 23:00,3.9,2.5,84,해당없음,해당없음,해당없음,해당없음
2024-01-12 0:00,3.3,2.7,79,해당없음,해당없음,해당없음,해당없음
2024-01-12 1:00,2.9,2.6,77,해당없음,해당없음,해당없음,해당없음
2024-01-12 2:00,2.3,3.0,81,해당없음,해당없음,해당없음,해당없음
2024-01-12 3:00,1.5,3.1,86,해당없음,해당없음,해당없음,해당없음
2024-01-12 4:00,1.1,3.0,85,해당없음,해당없음,해당없음,해당없음
2024-01-12 5:00,0.6,2.3,81,해당없음,해당없음,해당없음,해당없음
2024-01-12 6:00,0.3,2.3,86,해당없음,해당없음,해당없음,해당없음
2024-01-12 7:00,0.0,3.2,79,해당없음,해당없음,해당없음,해당없음
2024-01-12 8:00,-0.3,2.6,78,해당없음,해당없음,해당없음,해당없음
2024-01-12 9:00,-0.1,2.3,77,해당없음,해당없음,해당없음,해당없음
2024-01-12 10:00,0.6,3.3,68,해당없음,해당없음,해당없음,해당없음
2024-01-12 11:00,1.4,2.5,55,해당없음,해당없음,해당없음,해당없음
2024-01-12 12:00,2.1,3.6,48,해당없음,해당없음,해당없음,해당없음
2024-01-12 13:00,2.6,3.0,41,해당없음,해당없음,해당없음,해당없음
2024-01-12 14:00,2.9,3.4,42,해당없음,해당없음,해당없음,해당없음
2024-01-12 15:00,2.7,4.6,39,해당없음,해당없음,해당없음,해당없음
2024-01-12 16:00,2.5,2.9,41,해당없음,해당없음,해당없음,해당없음
2024-01-12 17:00,2.0,2.7,45,해당없음,해당없음,해당없음,해당없음
2024-01-12 18:00,1.2,2.1,52,해당없음,해당없음,해당없음,해당없음
2024-01-12 19:00,1.1,2.0,55,해당없음,해당없음,해당없음,해당없음
2024-01-12 20:00,1.2,2.6,51,해당없음,해당없음,해당없음,해당없음
2024-01-12 21:00,0.9,2.7,46,해당없음,해당없음,해당없음,해당없음
2024-01-12 22:00,0.4,2.9,49,해당없음,해당없음,해당없음,해당없음
2024-01-12 23:00,-0.1,2.9,45,해당없음,해당없음,해당없음,해당없음
2024-01-13 0:00,-0.3,3.0,44,해당없음,해당없음,해당없음,해당없음
2024-01-13 1:00,-1.0,1.9,50,해당없음,해당없음,해당없음,해당없음
2024-01-13 2:00,-1.4,1.5,49,해당없음,해당없음,해당없음,해당없음
2024-01-13 3:00,-1.6,2.0,54,해당없음,해당없음,해당없음,해당없음
2024-01-13 4:00,-1.4,2.1,50,해당없음,해당없음,해당없음,해당없음
2024-01-13 5:00,-1.6,2.1,60,해당없음,해당없음,해당없음,해당없음
2024-01-13 6:00,-1.5,2.2,59,해당없음,해당없음,해당없음,해당없음
2024-01-13 7:00,-1.3,3.4,52,해당없음,해당없음,해당없음,해당없음
2024-01-13 8:00,-1.6,1.6,55,해당없음,해당없음,해당없음,해당없음
2024-01-13 9:00,-1.2,2.6,54,해당없음,해당없음,해당없음,해당없음
2024-01-13 10:00,0.1,3.1,49,해당없음,해당없음,해당없음,해당없음
2024-01-13 11:00,0.9,3.1,41,해당없음,해당없음,해당없음,해당없음
2024-01-13 12:00,1.5,2.2,36,해당없음,해당없음,해당없음,해당없음
2024-01-13 13:00,2.5,2.6,36,해당없음,해당없음,해당없음,해당없음
2024-01-13 14:00,3.4,2.1,33,해당없음,해당없음,해당없음,해당없음
2024-01-13 15:00,3.6,2.0,32,해당없음,해당없음,해당없음,해당없음
2024-01-13 16:00,3.8,1.3,31,해당없음,해당없음,해당없음,해당없음
2024-01-13 17:00,3.1,2.7,38,해당없음,해당없음,해당없음,해당없음
2024-01-13 18:00,1.6,1.5,44,해당없음,해당없음,해당없음,해당없음
2024-01-13 19:00,0.9,0.8,48,해당없음,해당없음,해당없음,해당없음
2024-01-13 20:00,0.4,1.7,50,해당없음,해당없음,해당없음,해당없음
2024-01-13 21:00,0.5,1.8,56,해당없음,해당없음,해당없음,해당없음
2024-01-13 22:00,0.2,1.7,60,해당없음,해당없음,해당없음,해당없음
2024-01-13 23:00,0.0,2.5,61,해당없음,해당없음,해당없음,해당없음
2024-01-14 0:00,-0.1,0.9,65,해당없음,해당없음,해당없음,해당없음
2024-01-14 1:00,0.0,1.5,66,해당없음,해당없음,해당없음,해당없음
2024-01-14 2:00,-0.1,2.1,68,해당없음,해당없음,해당없음,해당없음
2024-01-14 3:00,-0.2,1.5,67,해당없음,해당없음,해당없음,해당없음
2024-01-14 4:00,-0.1,1.2,65,해당없음,해당없음,해당없음,해당없음
2024-01-14 5:00,-0.2,1.9,64,해당없음,해당없음,해당없음,해당없음
2024-01-14 6:00,-0.5,2.5,65,해당없음,해당없음,해당없음,해당없음
2024-01-14 7:00,-0.1,1.5,67,해당없음,해당없음,해당없음,해당없음
2024-01-14 8:00,-0.3,0.7,67,해당없음,해당없음,해당없음,해당없음
2024-01-14 9:00,0.8,3.1,64,해당없음,해당없음,해당없음,해당없음
2024-01-14 10:00,2.1,4.5,66,해당없음,해당없음,해당없음,해당없음
2024-01-14 11:00,3.2,6.3,63,해당없음,해당없음,해당없음,해당없음
2024-01-14 12:00,3.3,4.3,75,해당없음,해당없음,해당없음,해당없음
2024-01-14 13:00,3.3,3.3,86,해당없음,해당없음,해당없음,해당없음
2024-01-14 14:00,3.1,3.0,90,해당없음,해당없음,해당없음,해당없음
2024-01-14 15:00,2.2,2.0,91,해당없음,해당없음,해당없음,해당없음
2024-01-14 16:00,2.1,3.6,90,해당없음,해당없음,해당없음,해당없음
2024-01-14 17:00,1.8,5.0,89,해당없음,해당없음,해당없음,해당없음
2024-01-14 18:00,0.6,3.5,84,해당없음,해당없음,해당없음,해당없음
2024-01-14 19:00,-0.4,4.7,79,해당없음,해당없음,해당없음,해당없음
2024-01-14 20:00,-1.1,4.5,77,해당없음,해당없음,해당없음,해당없음
2024-01-14 21:00,-1.7,3.8,73,해당없음,해당없음,해당없음,해당없음
2024-01-14 22:00,-2.4,6.2,60,해당없음,해당없음,해당없음,해당없음
